Date,number of piles,daily rate per machine
21-Mar,2,0.666666667
22-Mar,4,1.333333333
23-Mar,1,0.333333333
24-Mar,1,0.333333333
25-Mar,1,0.333333333
26-Mar,2,0.666666667
27-Mar,4,1.333333333
28-Mar,3,1
29-Mar,4,1.333333333
30-Mar,3,1
31-Mar,2,0.666666667
1-Apr,3,1
2-Apr,2,0.666666667
3-Apr,3,1
4-Apr,2,0.666666667
5-Apr,1,0.333333333
6-Apr,2,0.666666667
7-Apr,2,0.666666667
8-Apr,2,0.666666667
9-Apr,1,0.333333333
10-Apr,3,1
11-Apr,3,1
12-Apr,2,0.666666667
13-Apr,3,1
14-Apr,2,0.666666667
15-Apr,3,1
16-Apr,3,1
